KLAC,20181214,LOWEST
LRCX,20181214,LOWEST
LAMR,20181214,LOWEST
LANC,20181214,LOWEST
LSTR,20181214,LOWEST
TREE,20181214,LOWEST
LBRDA,20181214,LOWEST
LBRDK,20181214,LOWEST
LBTYA,20181214,LOWEST
LBTYB,20181214,LOWEST
LBTYK,20181214,LOWEST
LILA,20181214,LOWEST
LILAK,20181214,LOWEST
LVNTA,20181214,LOWEST
LVNTB,20181214,LOWEST
QVCA,20181214,LOWEST
QVCB,20181214,LOWEST
FWONK,20181214,LOWEST
LSXMK,20181214,LOWEST
LECO,20181214,LOWEST
LFUS,20181214,LOWEST
LIVN,20181214,LOWEST
LKQ,20181214,LOWEST
LOGI,20181214,LOWEST
LOGM,20181214,LOWEST
LPLA,20181214,LOWEST
LULU,20181214,LOWEST
MKTX,20181214,LOWEST
MAR,20181214,LOWEST
MRVL,20181214,LOWEST
MASI,20181214,LOWEST
MTCH,20181214,LOWEST
MAT,20181214,LOWEST
MXIM,20181214,LOWEST
MBFI,20181214,LOWEST
MDSO,20181214,LOWEST
MLCO,20181214,LOWEST
MELI,20181214,LOWEST
MEOH,20181214,LOWEST
MCHP,20181214,LOWEST
MU,20181214,LOWEST
MSCC,20181214,LOWEST
MSFT,20181214,LOWEST
MKSI,20181214,LOWEST
MDLZ,20181214,LOWEST
MPWR,20181214,LOWEST
MNST,20181214,LOWEST
MORN,20181214,LOWEST
MYL,20181214,LOWEST
NDAQ,20181214,LOWEST
FIZZ,20181214,LOWEST
NATI,20181214,LOWEST
NKTR,20181214,LOWEST
NTAP,20181214,LOWEST
NTES,20181214,LOWEST
NFLX,20181214,LOWEST
NBIX,20181214,LOWEST
NWS,20181214,LOWEST
NWSA,20181214,LOWEST
NICE,20181214,LOWEST
NDSN,20181214,LOWEST
NTRS,20181214,LOWEST
NCLH,20181214,LOWEST
NUAN,20181214,LOWEST
NTNX,20181214,LOWEST
NVDA,20181214,LOWEST
NXPI,20181214,LOWEST
ODFL,20181214,LOWEST
ON,20181214,LOWEST
OTEX,20181214,LOWEST
ORLY,20181214,LOWEST
PCAR,20181214,LOWEST
PACW,20181214,LOWEST
PTEN,20181214,LOWEST
PAYX,20181214,LOWEST
PYPL,20181214,LOWEST
PEGA,20181214,LOWEST
PBCT,20181214,LOWEST
PPC,20181214,LOWEST
PNFP,20181214,LOWEST
POOL,20181214,LOWEST
BPOP,20181214,LOWEST
PTLA,20181214,LOWEST
QQQ,20181214,LOWEST
PRAH,20181214,LOWEST
PFPT,20181214,LOWEST
PTC,20181214,LOWEST
PBYI,20181214,LOWEST
QGEN,20181214,LOWEST
QRVO,20181214,LOWEST
QCOM,20181214,LOWEST
GOLD,20181214,LOWEST
RP,20181214,LOWEST
RRR,20181214,LOWEST
REGN,20181214,LOWEST
ROKU,20181214,LOWEST
ROST,20181214,LOWEST
RGLD,20181214,LOWEST
RYAAY,20181214,LOWEST
SABR,20181214,LOWEST
SAGE,20181214,LOWEST
SAFM,20181214,LOWEST
SRPT,20181214,LOWEST
SBAC,20181214,LOWEST
SGMS,20181214,LOWEST
SNI,20181214,LOWEST
STX,20181214,LOWEST
SGEN,20181214,LOWEST
SEIC,20181214,LOWEST
SNH,20181214,LOWEST
SHPG,20181214,LOWEST
SBNY,20181214,LOWEST
SLAB,20181214,LOWEST
SINA,20181214,LOWEST
SBGI,20181214,LOWEST
SIRI,20181214,LOWEST
SWKS,20181214,LOWEST
SLM,20181214,LOWEST
LNCE,20181214,LOWEST
SPLK,20181214,LOWEST
SSNC,20181214,LOWEST
SBUX,20181214,LOWEST
STLD,20181214,LOWEST
SRCL,20181214,LOWEST
SIVB,20181214,LOWEST
SYMC,20181214,LOWEST
SNPS,20181214,LOWEST
TROW,20181214,LOWEST
TTWO,20181214,LOWEST
AMTD,20181214,LOWEST
TECD,20181214,LOWEST
TSRO,20181214,LOWEST
TSLA,20181214,LOWEST
TCBI,20181214,LOWEST
TXN,20181214,LOWEST
TXRH,20181214,LOWEST
TFSL,20181214,LOWEST
CG,20181214,LOWEST
GT,20181214,LOWEST
HAIN,20181214,LOWEST
KHC,20181214,LOWEST
MSG,20181214,LOWEST
MIK,20181214,LOWEST
MIDD,20181214,LOWEST
PCLN,20181214,LOWEST
TSG,20181214,LOWEST
ULTI,20181214,LOWEST
TMUS,20181214,LOWEST
TSCO,20181214,LOWEST
TRMB,20181214,LOWEST
TRIP,20181214,LOWEST
FOX,20181214,LOWEST
FOXA,20181214,LOWEST
UBNT,20181214,LOWEST
ULTA,20181214,LOWEST
UMBF,20181214,LOWEST
UMPQ,20181214,LOWEST
UBSI,20181214,LOWEST
UTHR,20181214,LOWEST
OLED,20181214,LOWEST
URBN,20181214,LOWEST
VNQI,20181214,LOWEST
VCIT,20181214,LOWEST
VMBS,20181214,LOWEST
VCSH,20181214,LOWEST
VTIP,20181214,LOWEST
BNDX,20181214,LOWEST
VXUS,20181214,LOWEST
VEON,20181214,LOWEST
VRSN,20181214,LOWEST
VRSK,20181214,LOWEST
VRTX,20181214,LOWEST
VIA,20181214,LOWEST
VIAB,20181214,LOWEST
VSAT,20181214,LOWEST
VOD,20181214,LOWEST
WBA,20181214,LOWEST
WB,20181214,LOWEST
WEN,20181214,LOWEST
WDC,20181214,LOWEST
WLTW,20181214,LOWEST
WTFC,20181214,LOWEST
WWD,20181214,LOWEST
WDAY,20181214,LOWEST
WYNN,20181214,LOWEST
XLNX,20181214,LOWEST
YNDX,20181214,LOWEST
YY,20181214,LOWEST
ZBRA,20181214,LOWEST
Z,20181214,LOWEST
ZG,20181214,LOWEST
ZION,20181214,LOWEST
MMM,20181214,LOWEST
WUBA,20181214,LOWEST
ABB,20181214,LOWEST
ABT,20181214,LOWEST
ABBV,20181214,LOWEST
ACN,20181214,LOWEST
AYI,20181214,LOWEST
ADNT,20181214,LOWEST
AAP,20181214,LOWEST
ASX,20181214,LOWEST
ACM,20181214,LOWEST
ABMD,20181214,LOWEST
ABMD,20181214,LOWEST
